"IDRSSD"	RCON9224	RCON9999	RSSD9017	RSSD9050	RSSD9130	RSSD9200	RSSD9220	
	ID_LEI	MICR9999REPORT DATE	NM_LGL	ID_FDIC_CERT	CITY	STATE_ABBR_NM	ZIP CODE	
37		20251231	Bank Of Hancock County	10057	Sparta	GA	31087	
242		20251231	FIRST COMMUNITY BANK XENIA FLORA	3850	Xenia	IL	62899	
279	54930067OMWEWTHVDO95	20251231	BROADSTREET BANK S S B	28868	MINEOLA	TX	75773	
354	549300T61O0X0RJMQ375	20251231	Bison State Bank	14083	Bison	KS	67520	
457		20251231	LOWRY STATE BANK	10202	LOWRY	MN	56349	
505	549300QY4UCP33T94N09	20251231	Ballston Spa National Bank	6959	Ballston Spa	NY	12020	
1155	549300ZRFLUGALHJF092	20251231	RVR Bank	17639	Fremont	NE	68025	
1351		20251231	Bank of Grandin	09392	Grandin	MO	63943	
1454		20251231	Hilltop National Bank	19184	Casper	WY	82609	
1669		20251231	The Liberty National Bank In Paris	3384	Paris	TX	75460	
1856		20251231	Washita State Bank	22430	Burns Flat	OK	73624	
2161	254900BM3N9MMKAA9U54	20251231	Lamar National Bank	23597	Paris	TX	75460	
2732	25490001F0A9F7BV6B05	20251231	Albany Bank & Trust Co., National Association	17230	Chicago	IL	60625	
2750		20251231	Genoa Community Bank	5408	Genoa	NE	68640	
3252		20251231	FIRST NATIONAL BANK OF GORDON	5410	GORDON	NE	69343	
3720	549300LPLWFD36TB5P09	20251231	Bank Of Clarendon, The	15671	Manning	SC	29102	
3971	549300WIWUF4JZ6O0629	20251231	Midcountry Bank	28865	Bloomington	MN	55439	
4231		20251231	FARMERS AND MERCHANTS BANK	16440	SYLVANIA	GA	30467	
5069		20251231	First Credit Bank	24332	West Hollywood	CA	90069	
5135		20251231	First State Bank of Blakely	15496	Blakely	GA	39823	
5210	5493005CFFMKTUKLO381	20251231	ACNB Bank	7506	Gettysburg	PA	17325	
5461		20251231	BAC Community Bank	19434	Stockton	CA	95202	
5751		20251231	KCB Bank	15194	Lakin	KS	67860	
6039		20251231	Pineland Bank	15699	Alma	GA	31510	
6329	549300M4GZM7GG3EIV16	20251231	Anderson Brothers Bank	9923	Mullins	SC	29574	
7009	549300NEQHXUX4MZIH22	20251231	Bessemer Trust Company	20015	Woodbridge	NJ	07095-1191	
7045		20251231	The Peoples Bank	5779	Brownstown	IN	47220	
7072		20251231	Wallkill Valley Federal Savings And Loan Association	28870	Wallkill	NY	12589	
7456		20251231	Bank of Hartington	13962	Hartington	NE	68739	
7634		20251231	THE FOUR COUNTY BANK	15904	ALLENTOWN	GA	31003	
8462		20251231	Perryton National Bank	3388	Perryton	TX	79070	
8631		20251231	The Pleasants County Bank	847	Saint Marys	WV	26170	
9357		20251231	Scale Bank	20268	Edina	MN	55435	
9553		20251231	ADAMS COUNTY BANK	14311	KENESAW	NE	68956	
9807	549300APYWQYO3RLT772	20251231	Amboy Bank	6423	Old Bridge	NJ	08857	
9955		20251231	Fusion Bank	15899	Larned	KS	67550	
10250	549300M5DZ6P9KNT7H33	20251231	Bank Of Elk River, The	1607	Elk River	MN	55330	
10849		20251231	FIRST STATE BANK	15050	LONOKE	AR	72086	
11145		20251231	Lake-Osceola State Bank	8172	Baldwin	MI	49304	
11640		20251231	FIRST NATIONAL BANK OF CLARKSDALE	19070	Clarksdale	MS	38614	
11837		20251231	The Farmers Bank	5709	Greensboro	GA	30642	
12030		20251231	Fnb South	17011	Alma	GA	31510	
12142		20251231	The Cleveland State Bank	12201	Cleveland	MS	38732	
12311	2WHM8VNJH63UN14OL754	20251231	The Huntington National Bank	6560	Columbus	OH	43215	
12647		20251231	The Portage County Bank	10012	Almond	WI	54909	
12946		20251231	Farmers Bank & Trust Company	1291	Magnolia	AR	71753	
13103	549300ENXD6MBH06E085	20251231	Bristol County Savings Bank	23622	Taunton	MA	02780	
13251		20251231	Elysian Bank	10185	Elysian	MN	56028	
13457		20251231	Legends West Bank	5425	Lewellen	NE	69147	
14155		20251231	F and C Bank	9378	Holden	MO	64040	
14650	254900467HCJ72XZNJ32	20251231	All Capital Bank	16795	Locust Grove	OK	74352	
14753		20251231	The Farmers State Bank Of Bucklin, Kansas	18101	Bucklin	KS	67834	
14865	549300J0CQITHCF2G618	20251231	Bank Of Eastern Oregon	16243	Heppner	OR	97836	
14977		20251231	First Federal Bank Littlefield Texas ssb	30291	Littlefield	TX	79339	
16551		20251231	Northview Bank	10956	Sandstone	MN	55072	
17110	254900UBH9AUOF7X8V73	20251231	The Haverford Trust Company	26189	Radnor	PA	19087	
17147	S0Q3AHZRL5K6VQE35M07	20251231	First Merchants Bank	4365	Muncie	IN	47305	
17259		20251231	The First National Bank In Marlow	26260	Marlow	OK	73055	
17950	549300DY5ZVXIORLFC39	20251231	Bank Of Bridger, National Association	2224	Bridger	MT	59014	
17978		20251231	Elizabethton Federal Savings Bank	29904	Elizabethton	TN	37643	
18050	254900YTMXVNCWHCVS50	20251231	First National Bank of Bastrop	3091	Bastrop	TX	78602	
18827	549300TFEH2N4OKL5136	20251231	Nextier Bank, Na	7900	Kittanning	PA	16201	
18836	254900JEEAUO1ZDBXW22	20251231	Capon Valley Bank	9998	Wardensville	WV	26851	
18854	5493003OO8EG0RKSFX83	20251231	Bank 7	4147	Oklahoma City	OK	73116	
19356		20251231	Security Bank And Trust Company	9881	Miami	OK	74354	
19936		20251231	Citizens Bank of Americus	15477	Americus	GA	31709	
19972		20251231	FARMERS BUILDING AND SAVINGS BANK	34711	ROCHESTER	PA	15074	
20053	549300IPFYHYZ3L7UL18	20251231	Security Bank	10015	New Auburn	WI	54757	
20633		20251231	Mcnb Bank And Trust Co.	6803	Welch	WV	24801	
20857	54930034DA3476XWUT25	20251231	FM BANK	10998	Waseca	MN	56093	
21256		20251231	State Bank Of Burrton	16583	Burrton	KS	67020	
21359		20251231	American State Bank Of Grygla	22263	Grygla	MN	56727	
21658		20251231	ALLIANCE BANK	12511	MONDOVI	WI	54755	
22048	549300FDWHVG4HSERS14	20251231	Union Bank & Trust Co.	1753	Monticello	AR	71655	
22543	984500AEH02DE1S8E864	20251231	State Savings Bank	8162	Frankfort	MI	49635	
22552		20251231	FIRST SOUTHEAST BANK	10576	HARMONY	MN	55939	
22730		20251231	West Union Bank	2452	West Union	WV	26456	
23456		20251231	The First National Bank Of Henning	5162	Ottertail	MN	56571	
23504	549300UWA74T8PF7KY34	20251231	Dime Community Bank	6976	Bridgehampton	NY	11932	
23643		20251231	COMMERCIAL BANK & TRUST COMPANY	90	MONTICELLO	AR	71655	
23755		20251231	First National Community Bank	5357	New Richmond	WI	54017	
24378		20251231	The Galion Building And Loan Bank	32307	Galion	OH	44833	
24659		20251231	Produce State Bank	10178	Hollandale	MN	56045	
24949	54930065PWY9N8KCRQ96	20251231	BARABOO STATE BANK	12788	BARABOO	WI	53913	
25357		20251231	All America Bank	20093	Mustang	OK	73064	
25647		20251231	First Secure Bank and Trust Co	22536	Palos Hills	IL	60465	
26765	549300PG87MHQ7H4CO08	20251231	Vantage Bank Texas	3405	San Antonio	TX	78216	
27070	254900OC13I9CJC7SD87	20251231	Prevail Bank	29294	Medford	WI	54451	
27614	254900I3LJYL57NZ5H21	20251231	The Andover Bank	10663	Andover	OH	44003	
27847	254900YY36UO9MBPH808	20251231	DIAMOND BANK	1527	MURFREESBORO	AR	71958	
28013	549300BN4MNW5KE16X83	20251231	Northfield Bank	28710	Staten Island	NY	10314	
28152	54930076NULTCIRS5P09	20251231	Harvest Bank	11415	Kimball	MN	55353	
28675	549300WUAFVZR9Z4BL92	20251231	Cumberland Federal Bank, Fsb	29293	Cumberland	WI	54829	
28732		20251231	Peoples Bank & Trust Co	1475	Manchester	TN	37355	
29476		20251231	Riverbank	31711	Pocahontas	AR	72455	
29636		20251231	The Citizens Bank Of Philadelphia	12204	Philadelphia	MS	39350	
29878		20251231	Maspeth Federal Savings And Loan Association	30303	Maspeth	NY	11378	
